longitude,latitude
-122.064007,37.9074886
-122.0641266,37.9074872
-122.0640902,37.9074966
-122.0640855,37.9074608
-122.0640838,37.9074309
-122.0639853,37.9070752
-122.0639853,37.9070752
-122.0640336,37.9074614
-122.0640197,37.907489
-122.0640068,37.9074207
-122.0639768,37.9074652
-122.0637258,37.9070722
-122.0638377,37.9070125
-122.0638646,37.907001
-122.0640136,37.9075237
-122.0639963,37.9075267
-122.0636434,37.9071813
-122.0640228,37.9074594
-122.0640384,37.9071136
-122.0640434,37.9071355
-122.064053,37.9071353
-122.0639824,37.9070589
-122.064108,37.9074614
-122.0639102,37.9070601
-122.0639684,37.9070889
-122.0639396,37.9070692
-122.0640104,37.9074495
-122.0640361,37.9074328
-122.0640206,37.9074657
-122.0641074,37.9074353
-122.0640759,37.907446
-122.0640787,37.9074415
-122.0640971,37.9074337
-122.0638722,37.9070335
-122.0640942,37.9074984
-122.06404,37.9074833
-122.0641101,37.9071717
-122.0641157,37.9074915
-122.0641669,37.9072517
-122.0641295,37.9074233
-122.0641859,37.907186
-122.0639631,37.9070838
-122.064101,37.907471
-122.064097,37.9075042
-122.0639834,37.9071017
-122.0639851,37.907109
-122.0639908,37.9071099
-122.0640623,37.9074085
-122.0640817,37.9074197
-122.0638774,37.9072198
-122.0638621,37.9072128
-122.0638428,37.9072319
-122.0641174,37.9074876
-122.064111,37.90739
-122.06408,37.9074067
-122.063921,37.9070989
-122.064055,37.9071268
-122.0639952,37.9070947
-122.0639952,37.9070947
-122.0639876,37.907099
-122.0640358,37.9074803
-122.064036,37.9074979
-122.0640396,37.9075048
-122.064057,37.9074933
-122.0640535,37.9074731
-122.0640104,37.907445
-122.0640387,37.9073657
-122.0640322,37.9074506
-122.0640366,37.9074579
-122.0640336,37.9074003
-122.0639676,37.9070849
-122.0639776,37.9070885
-122.064031,37.9074321
-122.0640568,37.9074125
-122.0640508,37.9074866
-122.0639727,37.9070786
-122.0639582,37.9070698
-122.0639811,37.9070829
-122.063914,37.907041
-122.0640355,37.9073621
-122.0640606,37.9074592
-122.0640629,37.9074583
-122.0640838,37.9074799
-122.06403,37.9074041
-122.0638203,37.9070129
-122.0638203,37.9070129
-122.0638203,37.9070129
-122.0640391,37.9073722
-122.0640869,37.9074014
-122.0640911,37.9073792
-122.0640756,37.9073578
-122.0640778,37.9074668
-122.0640388,37.9074879
-122.0640408,37.9075399
-122.0640408,37.9075399
-122.0640275,37.9074868
-122.0640188,37.907514
-122.0640023,37.9074419
-122.0639904,37.9074748
-122.0640293,37.9074252
-122.064006,37.9073994
-122.0640566,37.9074253
-122.0640213,37.9073745
-122.0640327,37.9073924
-122.0640433,37.9074407
-122.0639915,37.9070893
-122.0639699,37.9070857
-122.0641181,37.9075119
-122.0638703,37.9070507
-122.0638727,37.9070316
-122.0637728,37.9071161
-122.0640336,37.9075435
-122.0638079,37.9077309
-122.0641038,37.9075724
-122.0640962,37.9075241
-122.0639696,37.9070855
-122.0640583,37.9073498
-122.0640389,37.9074029
-122.0638114,37.9070141
-122.0638306,37.9070025
-122.0638085,37.9069929
-122.0638252,37.9070203
-122.0639023,37.9070624
-122.0639084,37.9070629
-122.0639084,37.9070629
-122.0640185,37.9073711
-122.0640358,37.9074282
-122.0640291,37.9075089
-122.064035,37.9075241
-122.0640247,37.9075789
-122.0640404,37.9075146
-122.0640177,37.9074939
-122.0640181,37.9075028
-122.0640654,37.907335
-122.0640698,37.9073406
-122.063893,37.9070336
-122.0640014,37.9071061
-122.0639863,37.9074302
-122.0640338,37.9074319
-122.0641315,37.9072035
-122.064067,37.9071489
-122.0640389,37.9071225
-122.0641053,37.9075143
-122.064169,37.9072136
-122.064156,37.907191
-122.0640626,37.907475
-122.0640835,37.907503
-122.0640877,37.9075568
-122.0640877,37.9075568
-122.0640951,37.9073848
-122.064059,37.9074768
-122.0640517,37.9074314
-122.0640275,37.9074134
-122.063872,37.9075974
-122.063915,37.9075726
-122.064104,37.9073441
-122.0641029,37.9074909
-122.0641023,37.9074862
-122.0640536,37.9074719
-122.0640562,37.9074651
-122.0640664,37.9073783
-122.0640891,37.9073863
-122.063991,37.9070893
-122.0640706,37.9073118
-122.0640281,37.907406
-122.0640301,37.9074476
-122.064049,37.9074922
-122.0640375,37.9075072
-122.0640788,37.9074839
-122.0638578,37.9076818
-122.0640308,37.9074725
-122.0640346,37.9074515
-122.0636333,37.907219
-122.0639001,37.9070587
-122.0639001,37.9070587
-122.0641208,37.9073417
-122.0641128,37.90744
-122.0640938,37.9074117
-122.0638913,37.9070164
-122.0639054,37.9070246
-122.064059,37.9073933
-122.064082,37.9074529
-122.0638285,37.9076991
-122.0638579,37.9076982
-122.0638251,37.9077632
-122.0641205,37.9075441
-122.0640161,37.9075016
-122.06404,37.9074341
-122.0640267,37.9075432
-122.0640387,37.9074949
-122.0640302,37.9075316
-122.0641042,37.9075585
-122.0640145,37.9075532
-122.0640517,37.9074662
-122.0638995,37.9070843
-122.0640892,37.9076264
-122.0640135,37.9075259
-122.0640097,37.9075104
-122.0640342,37.9074893
-122.0640767,37.9073796
-122.0640785,37.9074416
-122.0641036,37.907432
-122.0639546,37.9070635
-122.0638019,37.9070051
-122.064098,37.9074638
-122.0640321,37.9074871
-122.0640327,37.9074535
-122.0640702,37.9073885
-122.0639675,37.9070919
-122.0640409,37.9071499
-122.0641076,37.9074257
-122.0639343,37.907061
-122.0638968,37.907112
-122.0641032,37.9072612
-122.0639917,37.9071393
-122.0640944,37.9073958
-122.0639454,37.9070784
-122.0641297,37.9072525
-122.0641294,37.9072807
-122.0636669,37.9071359
-122.0632709,37.9061993
-122.0632709,37.9061993
-122.0638678,37.9051275
-122.0641704,37.9046899
-122.0641647,37.9045575
-122.0641647,37.9045575
-122.0641647,37.9045575
-122.0641033,37.9051002
-122.0640797,37.9051416
-122.0641083,37.9050067
-122.0641334,37.9050929
-122.0640959,37.9051945
-122.0642513,37.9048264
-122.0638713,37.9071924
-122.0632014,37.9071339
-122.0638838,37.9072197
-122.0638838,37.9072197
-122.0618517,37.9084172
-122.0618185,37.908311
-122.0617346,37.9081174
-122.0617602,37.9081135
-122.0617547,37.9079004
-122.0618118,37.9078115
-122.0640301,37.9074985
-122.0640523,37.9073245
-122.0640126,37.9073901
-122.0640569,37.9074399
-122.0640355,37.9074612
-122.0640355,37.9074612
-122.0640475,37.9075133
-122.064048,37.9074948
-122.0640305,37.9074223
-122.0638816,37.907055
-122.063874,37.9070593
-122.0640171,37.9073396
-122.0640435,37.9073375
-122.0640546,37.9074681
-122.0640598,37.9075352
-122.064053,37.9074608
-122.0640515,37.9074579
-122.0640478,37.907485
-122.0640369,37.9073774
-122.0640362,37.9074957
-122.0640253,37.9073746
-122.0640504,37.9074168
-122.0638945,37.907114
-122.06401,37.9075145
-122.0638894,37.9070338
-122.0637914,37.9069969
-122.0640396,37.9074094
-122.0640292,37.907469
-122.0640785,37.9074801
-122.0638936,37.907064
-122.0640707,37.9075003
-122.0640071,37.9070989
-122.0640927,37.9074553
-122.0637562,37.9071309
-122.0640248,37.9075374
-122.0640319,37.9075474
-122.0639184,37.9070839
-122.0639035,37.9070076
-122.0640392,37.9075307
-122.0640526,37.9075233
-122.0639872,37.9074848
-122.0639953,37.9073354
-122.0640367,37.9075014
-122.0640369,37.9074734
-122.0640176,37.9073297
-122.0640251,37.9074436
-122.0640157,37.9074643
-122.0640051,37.9074706
-122.064004,37.907417
-122.0640057,37.9074222
-122.0640937,37.9075447
-122.0640142,37.9075416
-122.0640395,37.9075036
-122.0640383,37.9075046
-122.0640212,37.9074973
-122.064046,37.9074424
-122.0640927,37.9075951
-122.0640677,37.9076145
-122.0640769,37.9075613
-122.0639909,37.907466
-122.0641,37.9075222
-122.0641116,37.9074797
-122.0640635,37.9075482
-122.0640181,37.907565
-122.064063,37.9074785
-122.0640743,37.9074732
-122.0640415,37.9075075
-122.064028,37.9074612
-122.0641802,37.9075805
-122.0640391,37.9075204
-122.0640347,37.9074225
-122.0640095,37.9074725
-122.0640352,37.9075525
-122.0640524,37.9073932
-122.0640404,37.9073475
-122.0640359,37.9074596
-122.0640413,37.9074133
-122.0639973,37.9072915
-122.0640107,37.9075125
-122.0640187,37.9074616
-122.0640299,37.9074048
-122.0639037,37.9071288
-122.0640405,37.9074777
-122.0640433,37.9074182
-122.0640745,37.9075417
-122.0640179,37.9073715
-122.0640436,37.9073903
-122.0640407,37.9074292
-122.0640439,37.9074251
-122.0640344,37.9073148
-122.0640698,37.907365
-122.0640494,37.9075563
-122.0640315,37.9075024
-122.0640186,37.9073853
-122.0639596,37.9074182
-122.0639946,37.9075204
-122.0641127,37.9074944
-122.0640466,37.9074474
-122.0640294,37.9074268
-122.0640313,37.9075383
-122.064122,37.9071742
-122.0641453,37.9071802
-122.0641845,37.9072404
-122.0641845,37.9072404
-122.0640892,37.9074389
-122.064018,37.9074414
-122.0640227,37.9073474
-122.0640433,37.9073726
-122.0640569,37.9075258
-122.0640254,37.9075182
-122.0640354,37.9074429
-122.0640354,37.9074429
-122.064026,37.9074443
-122.0640192,37.9074635
-122.0640096,37.9074752
-122.0640323,37.9073183
-122.0640566,37.9074678
-122.063863,37.9070381
-122.0640251,37.9074432
-122.0637584,37.9069947
-122.0640775,37.907405
-122.064016,37.9071378
-122.0641708,37.9072182
-122.0640336,37.9074715
-122.0640055,37.9074653
-122.0640454,37.9074637
-122.0640233,37.907417
-122.0640326,37.9074061
-122.0640119,37.9073854
-122.0640178,37.9074692
-122.0640534,37.9073295
-122.0640417,37.9075253
-122.0640605,37.9075415
-122.0640217,37.9074631
-122.0640445,37.9074456
-122.0640966,37.907165
-122.0638189,37.9070125
-122.0638224,37.9070038
-122.0640768,37.9075219
-122.0640234,37.9074766
-122.063982,37.9075221
-122.0640691,37.9074931
-122.0641025,37.9072661
-122.0639346,37.9071163
-122.0638714,37.9070698
-122.0639124,37.9070877
-122.0641146,37.9072653
-122.0641289,37.9072865
-122.0639635,37.9071421
-122.064077,37.907193
-122.064096,37.9072819
-122.064101,37.9073854
-122.0640483,37.9074587
-122.0640522,37.9075074
-122.0640486,37.9074906
-122.064034,37.9075324
-122.0640319,37.9075267
-122.0640408,37.9074381
-122.0638781,37.9070366
-122.0639672,37.9071108
-122.0640799,37.9074133
-122.0640142,37.9073166
-122.0640404,37.907372
-122.0640503,37.9073082
-122.0640541,37.9073052
-122.0640681,37.9074061
-122.0640119,37.9074438
-122.0640546,37.9073797
-122.0640739,37.9072836
-122.0640903,37.9073449
-122.0636537,37.9071276
-122.0636201,37.9071136
-122.0638233,37.9071825
-122.063742,37.9070707
-122.0635833,37.9070749
-122.0616625,37.9074336
-122.0619837,37.9074191
-122.0611522,37.9066599
-122.0594553,37.9053198
-122.059416,37.9051608
-122.0593958,37.9051343
-122.059402,37.9051386
-122.0593403,37.9051519
-122.0593118,37.9050717
-122.0592736,37.9051787
-122.0593179,37.9051057
-122.0592935,37.9052178
-122.0593198,37.9050962
-122.0593206,37.9051266
-122.0593091,37.9050297
-122.0593103,37.9050506
-122.0593103,37.9050248
-122.0593154,37.9050673
-122.059334,37.9050792
-122.0593303,37.9050609
-122.0593083,37.9050454
-122.0593192,37.9050482
-122.0594091,37.9050733
-122.0594339,37.9051602
-122.0619916,37.9074014
-122.0620684,37.9074663
-122.0644732,37.9076759
-122.0645312,37.9164015
-122.0640663,37.9170834
-122.0640667,37.9181599
-122.0639431,37.9182253
-122.0596499,37.9389893
-122.0596499,37.9389893
-122.0608295,37.976287
-122.0608787,37.9762567
-122.0608787,37.9762567
-122.0606474,37.976688
-122.0717247,37.9761368
-122.0710924,37.981507
-122.0711768,37.9816738
-122.0723175,37.9823435
-122.0637039,37.9740248
-122.0618562,37.9725247
-122.0618562,37.9725247
-122.1126265,37.8956703
-122.1126265,37.8956703
-122.1126265,37.8956703
-122.1770415,37.8863033
-122.205761,37.865497
-122.2179187,37.8555875
-122.2367199,37.8541225
-122.2408416,37.8564918
-122.2408416,37.8564918
-122.2451792,37.8581385
-122.2501929,37.8638228
-122.2501929,37.8638228
-122.2528262,37.8695735
-122.2528663,37.8696009
-122.2614809,37.8683156
-122.2614809,37.8683156
-122.266025,37.8695377
-122.2660202,37.8694188
-122.2661381,37.8691608
-122.2661337,37.8691938
-122.2659606,37.8695596
-122.2659089,37.8700397
-122.2657536,37.8703651
-122.2657554,37.8703251
